ID,x,y,Especie,Subespecie,Nombre común,Total,Lugar,lat,lng,id
111,317831.0071,1099258.267,Alouatta palliata,,Mono Congo,1,"Guanacaste Province, Costa Rica",9.937233,-85.661157,68724070
112,318329.6092,1100090.032,Alouatta palliata,,Mono Congo,5,"Nicoya, Guanacaste, CR",9.944773,-85.65665,68827666
113,320133.2002,1100215.693,Alouatta palliata,,Mono Congo,1,"Nicoya, CR-GU, CR",9.94599,-85.640213,68868379
114,320810.5196,1100292.196,Alouatta palliata,,Mono Congo,1,"Nicoya, Guanacaste, CR",9.946712,-85.634042,68518863
115,316769.9847,1100359.833,Alouatta palliata,,Mono Congo,1,"Nicoya, CR-GU, CR",9.947141,-85.67088,68869993
116,317898.1964,1100770.196,Alouatta palliata,,Mono Congo,1,"Guanacaste Province, Costa Rica",9.950901,-85.660614,68770985
117,317496.0763,1100854.704,Alouatta palliata,,Mono Congo,1,"Nicoya, Guanacaste, CR",9.951647,-85.664283,68737577
118,317496.0763,1100854.704,Alouatta palliata,,Mono Congo,1,"Nicoya, Guanacaste, CR",9.951647,-85.664283,68758176
119,317516.128,1100930.541,Alouatta palliata,,Mono Congo,8,"Nicoya, CR-GU, CR",9.952333,-85.664104,68869503
120,316284.8732,1101137.727,Alouatta palliata,,Mono Congo,1,Miss Sky Canopy Tour,9.954149,-85.675338,68750569
121,316407.788,1101150.99,Alouatta palliata,,Mono Congo,1,"Playa Pelada, Provincia de Guanacaste, Costa Rica",9.954275,-85.674218,68761566
122,316472.3223,1101973.725,Alouatta palliata,,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.961714,-85.673668,68738356
123,316484.0945,1101984.85,Alouatta palliata,,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.961815,-85.673561,68738345
124,316485.782,1101987.585,Alouatta palliata,,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.96184,-85.673546,68738381
125,316239.1362,1102075.68,Alouatta palliata,,Mono Congo,10,"Guanacaste Province, Costa Rica",9.962625,-85.675799,68759769
126,316359.0439,1102079.288,Alouatta palliata,,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.962663,-85.674706,68758391
127,316359.8844,1102080.023,Alouatta palliata,,Mono Congo,1,"Provincia de Guanacaste, Costa Rica",9.962669,-85.674698,68758270
128,316515.523,1102189.507,Alouatta palliata,,Mono Congo,14,"Guanacaste Province, Costa Rica",9.963666,-85.673284,68765161
129,316069.4879,1102222.916,Alouatta palliata,,Mono Congo,1,"Guanacaste Province, Costa Rica",9.963948,-85.677352,68764741
130,317274.9485,1103486.181,Alouatta palliata,,Mono Congo,1,"Santa Marta, Provincia de Guanacaste, Nosara, Costa Rica",9.97542,-85.66642,68870389
131,318574.8689,1103558.21,Alouatta palliata,,Mono Congo,1,"Nosara Airport, Nicoya, Guanacaste, CR",9.97613,-85.654572,68506778
132,319229.0675,1103953.583,Alouatta palliata,,Mono Congo,1,Nosara,9.979733,-85.648625,68736746
